,date,smp_max,smp_min,smp_mean,temp,max_temp,min_temp,ws,prec,humid,angry,body_temp,tour,supply,pc1,pc2,period,kpi,population
16,2018-02-17,152.5,107.61,126.44,5.0,10.3,1.3,4.8,0.0,0.509,45.5,2.2,35593,78.31,23.071822809612918,1.8825582022463971,winter,105.12142857142858,659904.0
17,2018-02-18,148.28,116.91,130.39,6.7,11.1,1.5,2.4,0.0,0.5760000000000001,47.2,5.4,39289,73.8,19.417431264726773,0.28190526683407624,winter,105.10964285714286,659949.0
18,2018-02-19,151.67,116.84,133.35,7.8,10.3,4.7,2.6,0.1,0.691,47.8,6.6,38183,77.87,17.860943905581237,-0.4273704933313318,winter,105.09785714285715,659994.0
19,2018-02-20,145.99,115.16,125.54,8.5,13.9,4.5,3.2,0.0,0.5579999999999999,49.7,7.1,40373,76.98,15.90520860747917,0.29282316213446813,winter,105.08607142857143,660039.0
20,2018-02-21,167.06,116.84,134.82,6.4,11.5,3.1,4.2,0.0,0.503,47.5,4.1,40393,81.87,20.003993512667282,1.4968984753383026,winter,105.07428571428572,660083.0
21,2018-02-22,165.91,116.84,134.31,4.9,8.5,1.3,3.8,0.0,0.44,46.0,2.3,39885,84.73,22.70437948307848,2.1477713363457167,winter,105.0625,660128.0
22,2018-02-23,143.44,116.84,128.36,7.8,12.8,0.8,3.5,0.0,0.611,48.5,6.2,40801,80.26,17.558462648426023,0.31995705795707,winter,105.05071428571429,660173.0
23,2018-02-24,148.34,116.63,125.61,9.5,14.0,4.6,2.4,0.0,0.595,51.0,8.6,40291,73.9,13.733931177654156,-0.1715342347205553,winter,105.03892857142857,660217.0
24,2018-02-25,144.2,116.36,126.36,10.0,14.7,6.1,2.9,0.0,0.6709999999999999,51.3,8.9,39635,74.19,13.132352205663867,-0.2938007888992708,winter,105.02714285714286,660262.0
25,2018-02-26,146.47,116.84,131.38,8.4,14.0,4.2,2.8,0.0,0.578,49.4,7.1,38107,78.89,16.16873167284607,0.11844131181247307,winter,105.01535714285714,660307.0
26,2018-02-27,171.36,116.55,129.76,10.5,15.1,5.2,2.5,0.0,0.6459999999999999,52.1,9.6,37118,74.89,11.963609313979385,-0.39240797468217725,winter,105.00357142857143,660352.0
27,2018-02-28,165.98,115.09,130.85,11.5,16.9,6.9,7.6,2.1,0.86,53.2,9.4,37639,78.61,10.807722738325428,0.27947382977404567,winter,104.99178571428571,660396.0
28,2018-03-01,181.14,119.65,134.24,7.2,12.7,2.4,7.7,0.0,0.687,47.3,4.0,42353,80.59,19.83124314690755,1.2958779139666026,winter,104.98,660441.0
29,2018-03-02,175.15,120.62,138.56,5.9,10.6,1.7,2.8,0.0,0.662,45.4,4.4,34957,78.97,21.602822605921276,0.01630687778179101,winter,104.98709677419355,660476.0
30,2018-03-03,180.97,113.75,133.78,11.3,19.0,4.2,2.6,0.1,0.8440000000000001,52.8,10.7,29847,73.19,10.524189777561771,-0.9079438907085672,winter,104.9941935483871,660510.0
31,2018-03-04,154.19,94.96,128.29,15.8,22.9,11.0,3.4,0.2,0.909,60.3,15.5,32953,65.1,0.5561365682150923,-0.48671740231139315,winter,105.00129032258064,660545.0
32,2018-03-05,180.0,119.48,135.75,11.5,21.8,7.3,5.0,0.2,0.945,52.9,9.9,32222,76.46,10.769119329195773,-0.2852543769877748,winter,105.0083870967742,660579.0
33,2018-03-06,181.06,120.72,134.07,9.1,12.1,7.0,4.6,0.0,0.6829999999999999,49.9,7.0,29834,76.67,15.534800058412069,0.3855279998556185,winter,105.01548387096774,660614.0
34,2018-03-07,180.18,120.76,132.96,9.9,12.5,8.4,4.4,0.6,0.789,50.7,8.1,26562,77.36,14.022910090590326,-0.06575900619707938,winter,105.0225806451613,660648.0
35,2018-03-08,148.79,120.44,128.11,7.6,11.9,4.0,6.8,1.2,0.8540000000000001,46.7,4.8,31502,80.75,19.67199512536685,0.24175457278303533,winter,105.02967741935484,660683.0
36,2018-03-09,155.29,120.62,137.74,5.8,10.4,3.1,3.9,0.0,0.727,44.7,3.7,36149,79.37,22.514647981583455,0.10570345514214109,winter,105.0367741935484,660717.0
37,2018-03-10,156.42,120.74,130.04,7.9,13.0,3.5,3.0,0.0,0.662,48.1,6.4,37236,77.53,17.69982672155114,-0.10419605227303308,winter,105.04387096774194,660752.0
38,2018-03-11,130.54,111.14,124.04,8.7,13.7,3.8,2.5,0.0,0.6890000000000001,49.2,7.6,33189,73.95,15.919322518848661,-0.4371326237728397,winter,105.0509677419355,660786.0
39,2018-03-12,130.55,120.47,124.43,10.9,16.2,4.6,2.8,0.0,0.7290000000000001,52.3,10.2,33141,74.94,11.327003722542553,-0.7837474453399759,winter,105.05806451612904,660821.0
40,2018-03-13,128.39,119.18,123.89,14.1,19.3,9.2,3.2,0.0,0.716,57.3,13.5,32049,70.51,4.5382084333339385,-0.6140558409748007,winter,105.06516129032258,660855.0
41,2018-03-14,133.16,116.65,125.3,16.3,20.6,11.6,3.3,0.0,0.779,60.8,16.0,31758,67.13,-0.29278914792023614,-0.6292787272790459,winter,105.07225806451613,660890.0
42,2018-03-15,151.53,99.61,132.88,16.1,21.2,10.4,4.5,1.3,0.941,60.8,15.6,36115,68.89,0.0042461570624640205,-0.2949637866083104,winter,105.07935483870968,660924.0
43,2018-03-16,157.06,112.95,131.0,10.0,14.7,7.8,4.6,0.1,0.841,50.8,8.1,38429,76.17,13.904327888031668,-0.01987497582246066,winter,105.08645161290323,660959.0
44,2018-03-17,178.47,119.61,143.32,9.4,15.2,4.7,3.9,0.0,0.6779999999999999,50.5,7.8,39376,73.2,14.552018631176505,0.12075645795531469,winter,105.09354838709677,660993.0
45,2018-03-18,155.53,119.1,133.31,14.1,20.7,7.2,2.2,0.1,0.845,57.5,13.8,35826,66.22,4.239658748520497,-0.7087469071318928,winter,105.10064516129033,661028.0
46,2018-03-19,157.0,108.57,131.33,13.4,16.7,9.0,3.2,1.0,0.9670000000000001,56.1,12.4,35369,76.3,6.2938683556175885,-0.4381293544158887,winter,105.10774193548387,661062.0
47,2018-03-20,153.61,118.81,130.42,8.8,12.4,5.5,6.3,0.3,0.85,48.7,5.9,33676,80.96,17.106012896077523,0.4879949680182912,winter,105.11483870967743,661097.0
48,2018-03-21,145.02,118.38,134.24,5.5,8.3,2.8,5.1,0.6,0.882,42.9,2.7,36540,80.62,24.46948046700523,-0.25171933190544954,winter,105.12193548387097,661131.0
49,2018-03-22,150.24,120.23,135.83,6.9,11.3,3.9,4.3,0.0,0.7509999999999999,46.1,4.8,38839,80.24,20.429600111873384,-0.015184729865644361,winter,105.12903225806451,661166.0
50,2018-03-23,155.68,120.5,132.32,8.6,14.6,4.3,3.0,0.0,0.645,49.3,7.3,40935,78.27,16.046572680604296,-0.13132994809564072,winter,105.13612903225807,661200.0
51,2018-03-24,157.11,116.8,129.99,11.3,16.0,5.3,2.6,0.0,0.695,53.3,10.6,42858,72.59,10.213040561209587,-0.5123030454719976,winter,105.14322580645161,661235.0
52,2018-03-25,159.98,114.86,127.22,12.6,18.2,4.4,2.2,0.0,0.809,54.8,12.3,37432,69.3,7.656081073775892,-1.0520498519131394,winter,105.15032258064517,661269.0
53,2018-03-26,155.42,119.19,129.68,13.2,17.3,7.4,1.8,0.0,0.7190000000000001,56.1,13.0,38695,71.81,6.078874253916273,-0.8477773674266885,winter,105.15741935483871,661304.0
54,2018-03-27,147.7,120.46,125.03,13.7,19.1,5.8,2.0,0.0,0.726,56.7,13.6,36931,72.05,5.106275165708423,-1.0004860777888096,winter,105.16451612903226,661338.0
55,2018-03-28,145.45,115.13,129.51,14.5,19.2,5.3,2.5,0.0,0.7909999999999999,58.1,14.2,39566,69.04,3.415577312803999,-0.6942981471586455,winter,105.1716129032258,661373.0
56,2018-03-29,170.18,110.7,136.7,15.3,18.9,10.3,2.0,0.0,0.846,59.4,15.2,40521,68.56,1.5925381286300855,-0.7499443079747801,winter,105.17870967741936,661407.0
57,2018-03-30,179.64,113.85,133.94,15.1,19.3,11.9,3.3,0.0,0.7759999999999999,58.9,14.8,42909,68.84,2.251925590633372,-0.7368739171724642,winter,105.1858064516129,661442.0
58,2018-03-31,173.16,114.06,135.34,15.7,20.6,10.4,2.6,0.0,0.6779999999999999,59.7,15.5,42911,66.5,1.037070927794339,-0.8538459825544301,winter,105.19290322580646,661476.0
59,2018-04-01,152.84,117.78,129.73,17.9,21.1,13.2,2.9,0.0,0.805,63.4,17.8,38446,62.66,-3.8364616349312635,-0.5917784581750041,cs,105.2,661511.0
60,2018-04-02,147.17,114.6,128.9,18.5,22.0,15.4,2.8,0.0,0.845,64.6,18.4,42441,64.46,-5.289995082718358,-0.3773585882940869,cs,105.21000000000001,661548.0
61,2018-04-03,146.47,112.57,128.96,18.5,22.8,15.2,2.8,0.0,0.867,64.6,18.4,42402,63.96,-5.289995082718358,-0.3773585882940869,cs,105.22,661586.0
62,2018-04-04,146.15,115.72,128.51,18.6,23.9,15.4,2.8,0.0,0.877,64.8,18.4,40732,64.09,-5.481047716681142,-0.26722564794577863,cs,105.23,661623.0
63,2018-04-05,157.0,119.59,128.94,16.6,21.1,13.9,4.1,0.2,0.9109999999999999,61.6,16.2,43487,66.18,-1.1132937939536205,-0.31917467702306257,cs,105.24000000000001,661661.0
64,2018-04-06,146.8,112.89,128.48,12.3,19.0,8.1,7.8,0.5,0.7190000000000001,55.0,10.2,45248,73.82,8.724737278467732,0.6938648095626359,cs,105.25,661698.0
65,2018-04-07,140.68,104.62,130.96,6.8,9.5,2.8,8.3,0.0,0.5539999999999999,47.6,3.5,44485,77.14,20.05429364065539,1.9340656391246631,cs,105.26,661735.0
66,2018-04-08,138.56,109.54,132.52,10.6,15.9,2.4,6.1,0.0,0.56,52.7,8.8,41360,72.41,11.892298479747346,0.569890968506091,cs,105.27,661773.0
67,2018-04-09,153.33,117.05,130.04,14.1,18.7,8.3,4.1,0.0,0.6990000000000001,57.3,13.4,43667,71.3,4.58941137400234,-0.5396595456066472,cs,105.28,661810.0
68,2018-04-10,148.9,112.26,127.17,16.9,22.0,11.5,4.7,0.0,0.741,61.6,16.5,41537,65.32,-1.4052379294224653,-0.597458201924705,cs,105.29,661848.0
69,2018-04-11,132.11,87.0,123.6,17.3,21.5,13.7,3.6,0.0,0.779,62.4,17.0,42865,67.31,-2.4254631686155976,-0.5289079173722481,cs,105.3,661885.0
70,2018-04-12,149.94,88.3,122.15,17.0,23.3,12.3,3.1,0.0,0.405,61.0,16.9,44623,65.96,-1.2213388748259142,-1.2989017228384805,cs,105.31,661922.0
71,2018-04-13,151.95,88.55,127.18,16.8,21.4,13.8,4.4,0.0,0.466,60.8,16.4,45239,66.34,-0.7281597663665759,-1.018688306746961,cs,105.32000000000001,661960.0
72,2018-04-14,156.29,87.24,118.1,14.9,22.6,9.6,6.8,1.2,0.9179999999999999,58.9,13.7,44130,66.9,2.9073814802948843,0.11821509107534679,cs,105.33,661997.0
73,2018-04-15,139.97,87.93,118.32,12.2,18.8,8.4,6.0,0.0,0.63,54.5,10.5,42312,70.95,8.979592384637659,0.16779625318881802,cs,105.34,662035.0
74,2018-04-16,143.54,120.21,126.7,11.8,16.0,7.7,3.4,0.0,0.6459999999999999,54.0,10.8,41770,69.32,9.372782804271226,-0.3031776643878196,cs,105.35,662072.0
75,2018-04-17,152.17,109.58,128.95,14.2,17.8,10.5,2.5,0.0,0.789,57.6,13.9,40355,70.04,4.069873605293431,-0.7372591721254219,cs,105.36,662109.0
76,2018-04-18,153.92,110.44,129.06,13.5,19.0,8.5,2.6,0.0,0.701,56.3,13.1,42735,71.89,5.7443951369759985,-0.8487704816446582,cs,105.37,662147.0
77,2018-04-19,147.36,120.72,131.39,13.8,19.3,5.1,2.0,0.0,0.649,57.0,13.7,44526,70.51,4.791549159673124,-0.9005005228349742,cs,105.38,662184.0
78,2018-04-20,146.85,110.57,126.6,15.4,21.9,6.9,1.8,0.0,0.63,59.2,15.4,47077,69.56,1.5889613389469663,-1.0455995982575133,cs,105.39,662222.0
79,2018-04-21,150.95,118.85,129.26,17.5,23.5,11.6,3.1,0.0,0.7440000000000001,62.6,17.2,43603,64.28,-2.7650334550697306,-0.5859324473593067,cs,105.4,662259.0
80,2018-04-22,131.25,120.8,126.33,19.2,23.1,17.3,3.3,0.7,0.917,66.1,19.1,40347,62.76,-7.0582545365407565,-0.06295316345933477,cs,105.41,662296.0
81,2018-04-23,150.47,88.78,130.0,18.4,21.5,16.2,3.4,3.7,0.98,65.1,18.3,41902,66.84,-5.555032527915996,0.03664713654154326,cs,105.42,662334.0
82,2018-04-24,150.78,109.58,130.2,15.2,18.4,12.3,2.8,1.3,0.9740000000000001,59.4,14.8,41627,67.67,1.843461662458239,-0.433994246903107,cs,105.43,662371.0
83,2018-04-25,151.08,108.77,130.26,14.1,17.7,9.6,1.7,0.1,0.828,57.3,14.0,45871,71.06,4.2821937299919295,-0.9860373178155679,cs,105.44,662409.0
84,2018-04-26,158.91,116.02,130.28,15.1,20.1,9.9,2.4,0.0,0.718,58.9,14.9,45844,68.0,2.20072264996497,-0.8112702125406172,cs,105.45,662446.0
85,2018-04-27,145.25,119.45,128.72,16.5,23.7,12.3,3.2,0.0,0.703,60.8,16.2,48680,66.32,-0.4874185715661323,-0.8148010772134728,cs,105.46,662483.0
86,2018-04-28,137.28,118.77,126.08,16.1,20.2,11.6,2.1,0.0,0.863,60.7,16.0,49909,63.86,-0.12809517420702998,-0.6567978780546045,cs,105.47,662521.0
87,2018-04-29,133.41,117.94,126.07,16.2,19.1,11.1,2.6,0.0,0.821,60.7,16.0,45634,61.98,-0.1742069453615757,-0.6751627576536646,cs,105.48,662558.0
88,2018-04-30,132.7,120.22,125.65,18.4,25.0,15.8,3.0,1.0,0.89,64.6,18.3,41603,63.19,-5.19268037089541,-0.2845974133268743,cs,105.49,662596.0
89,2018-05-01,129.84,117.09,124.66,19.2,24.9,16.6,2.2,0.1,0.938,66.1,19.2,39201,63.46,-7.1094574772091566,-0.13734945882748692,cs,105.5,662633.0
90,2018-05-02,131.69,120.27,124.41,17.7,25.7,12.0,4.7,0.0,0.9009999999999999,63.6,17.2,39325,66.53,-3.581961311419996,0.019826893179407973,cs,105.4925806451613,662662.0
91,2018-05-03,177.3,115.01,125.97,14.8,20.1,9.0,6.5,0.0,0.628,58.3,13.7,42710,67.86,3.3883158398741355,-0.24891348916769548,cs,105.48516129032258,662691.0
92,2018-05-04,131.18,120.44,125.36,15.4,22.2,8.1,4.4,0.0,0.51,59.0,14.9,48626,67.22,1.9899169050972116,-0.802115941364115,cs,105.47774193548388,662719.0
93,2018-05-05,133.71,114.07,125.65,17.7,22.3,11.6,4.0,0.0,0.6829999999999999,62.7,17.4,52961,61.13,-3.0321333101197454,-0.7072058873200494,cs,105.47032258064516,662748.0
94,2018-05-06,129.22,80.38,120.98,18.0,23.4,16.1,4.7,3.3,0.934,64.1,17.7,36587,61.55,-4.338663485246227,-0.08600467259012805,cs,105.46290322580646,662777.0
95,2018-05-07,131.68,114.16,124.83,17.1,19.4,15.4,3.0,0.5,0.9520000000000001,62.6,16.9,36575,62.69,-2.4269775484463385,-0.2892840428586033,cs,105.45548387096774,662806.0
96,2018-05-08,149.58,109.5,128.58,15.9,18.6,14.2,4.6,0.0,0.8190000000000001,60.4,15.4,40998,64.51,0.4887573063248291,-0.3664370765686161,cs,105.44806451612904,662835.0
97,2018-05-09,152.16,112.58,128.99,15.3,18.9,13.2,3.5,0.0,0.713,59.3,14.9,40805,64.78,1.8186173820394085,-0.5910043318440052,cs,105.44064516129032,662863.0
98,2018-05-10,150.52,113.47,127.54,15.4,18.8,11.1,2.4,0.0,0.773,59.3,15.2,40211,66.11,1.6188967888796575,-0.8325580975475257,cs,105.43322580645162,662892.0
99,2018-05-11,153.79,110.78,127.95,17.0,21.8,7.7,2.5,0.0,0.7070000000000001,61.7,16.8,42168,61.16,-1.6774289539863365,-0.7747630576545421,cs,105.4258064516129,662921.0
100,2018-05-12,130.36,113.91,124.47,19.7,24.4,17.5,4.2,0.2,0.8270000000000001,66.4,19.6,44651,60.43,-7.762239389867859,-0.3340123083743459,cs,105.4183870967742,662950.0
101,2018-05-13,152.86,80.7,122.69,17.8,24.8,13.0,3.2,2.0,0.902,63.6,17.6,40436,60.61,-3.8328848452481514,-0.2961231678922687,cs,105.41096774193548,662979.0
102,2018-05-14,148.5,116.85,129.57,19.2,24.9,12.9,1.7,0.0,0.731,64.9,19.2,43622,63.13,-6.239812300359759,-0.9083363785116821,cs,105.40354838709678,663007.0
103,2018-05-15,153.76,118.78,128.76,20.9,26.2,16.5,1.6,0.0,0.795,68.4,21.2,43255,63.72,-10.58423632249919,-0.45975338997985615,cs,105.39612903225806,663036.0
104,2018-05-16,151.16,115.85,128.5,22.1,28.9,19.2,2.3,0.0,0.9359999999999999,71.2,22.2,41802,67.37,-13.678779062353053,0.3748745804130194,cs,105.38870967741936,663065.0
105,2018-05-17,153.96,115.02,127.86,22.4,29.2,19.6,2.5,0.1,0.934,71.7,22.5,44179,69.54,-14.33307535484248,0.4178356053797956,cs,105.38129032258064,663094.0
106,2018-05-18,153.75,114.09,131.27,20.8,27.1,15.6,2.1,1.0,0.951,69.0,20.8,46633,66.97,-10.768135377095739,0.24169013093391412,cs,105.37387096774194,663123.0
107,2018-05-19,155.13,81.54,126.92,16.5,19.7,14.5,3.7,0.0,0.866,61.5,16.3,49533,61.92,-1.0459145320633576,-0.4394550027658409,cs,105.36645161290322,663152.0
108,2018-05-20,138.67,66.54,105.71,16.4,21.4,13.1,4.1,0.0,0.765,60.9,16.1,42593,61.66,-0.46257429114730264,-0.6577909922725759,cs,105.35903225806452,663180.0
109,2018-05-21,146.78,123.53,130.97,17.8,21.6,14.9,3.1,0.0,0.8440000000000001,63.4,17.9,35632,62.49,-3.841552804445118,-0.6478098739440957,cs,105.3516129032258,663209.0
110,2018-05-22,145.06,120.31,133.14,19.6,26.4,16.4,1.9,0.1,0.8320000000000001,66.2,19.8,33234,60.36,-7.67359263724188,-0.5929378394589621,cs,105.3441935483871,663238.0
111,2018-05-23,175.9,120.08,137.1,18.5,24.1,14.9,2.9,0.8,0.804,64.3,18.4,38643,64.34,-5.072583788506008,-0.5701053182151362,cs,105.33677419354838,663267.0
112,2018-05-24,171.88,120.35,145.74,18.7,23.6,13.9,1.5,0.0,0.602,63.8,19.0,40806,62.93,-5.109672817804926,-1.3744573994905955,cs,105.32935483870968,663296.0
113,2018-05-25,174.17,120.68,134.43,19.3,23.4,14.9,2.2,0.0,0.664,65.1,19.3,42111,62.86,-6.4820678749909355,-0.8725997335315359,cs,105.32193548387096,663324.0
114,2018-05-26,136.67,124.32,129.48,18.1,22.9,14.2,2.9,0.2,0.8640000000000001,63.9,18.0,45671,62.04,-4.393443215597748,-0.45605625824101437,cs,105.31451612903226,663353.0
115,2018-05-27,176.45,122.58,135.18,19.7,22.8,15.4,1.7,0.1,0.8240000000000001,66.5,19.7,42615,61.61,-7.885912761940372,-0.34415969376881816,cs,105.30709677419354,663382.0
116,2018-05-28,175.69,123.11,133.92,19.4,23.5,17.8,2.5,0.4,0.9620000000000001,66.7,19.4,44161,64.45,-7.738909489279763,0.06262165108019287,cs,105.29967741935484,663411.0
117,2018-05-29,171.07,124.93,138.52,20.3,25.5,17.8,2.0,0.0,0.943,68.2,20.4,42356,64.45,-9.753001307416461,0.1171084306123666,cs,105.29225806451612,663440.0
118,2018-05-30,173.67,124.33,140.81,20.6,23.6,17.8,1.6,0.0,0.935,68.6,20.6,41429,65.18,-10.283624227833368,0.17021684097360454,cs,105.28483870967742,663468.0
119,2018-05-31,176.69,124.97,132.31,19.0,22.7,16.1,2.1,0.0,0.831,65.4,19.0,40214,62.62,-6.40753503373445,-0.4015694787088348,cs,105.2774193548387,663497.0
120,2018-06-01,152.46,135.39,144.78,20.3,27.1,14.5,1.5,0.0,0.7070000000000001,66.4,20.3,45083,63.87,-8.397330601473952,-0.9649756535457831,summer,105.27,663526.0
121,2018-06-02,170.78,126.35,134.85,21.8,26.9,16.2,1.2,0.0,0.6709999999999999,68.8,21.8,48463,62.74,-11.596341632516983,-0.814419438685595,summer,105.26066666666667,663561.0
122,2018-06-03,164.63,126.47,134.25,21.2,24.6,16.4,1.2,0.0,0.741,68.4,21.2,45700,61.77,-10.722571635962831,-0.5148480287770383,summer,105.25133333333333,663596.0
123,2018-06-04,166.75,126.21,141.64,21.9,26.3,16.1,1.4,0.0,0.7609999999999999,69.5,21.9,43820,64.6,-12.200949364168757,-0.4574382438370181,summer,105.24199999999999,663631.0
124,2018-06-05,189.63,126.82,140.21,20.0,23.5,18.3,2.7,1.5,0.9540000000000001,67.8,20.0,42768,64.38,-9.119972505662739,0.21279261098742291,summer,105.23266666666666,663666.0
125,2018-06-06,164.94,127.09,134.7,20.7,23.8,18.3,1.5,0.0,0.9109999999999999,68.6,20.6,44434,62.86,-10.329735998987914,0.15185196137454404,summer,105.22333333333333,663702.0
126,2018-06-07,188.69,112.67,145.34,21.1,24.1,16.7,1.9,0.0,0.879,69.0,21.1,40274,64.56,-11.060079512564585,-0.03659339396772739,summer,105.214,663737.0
127,2018-06-08,150.57,135.01,140.51,21.1,27.0,17.6,2.6,0.0,0.856,68.8,21.0,41424,63.89,-10.863935709087947,-0.09069491854694091,summer,105.20466666666667,663772.0
128,2018-06-09,148.49,111.48,141.16,21.4,26.4,16.7,3.4,0.0,0.8240000000000001,69.1,21.4,46153,61.33,-11.42449407943754,-0.2506280088956876,summer,105.19533333333332,663807.0
129,2018-06-10,189.58,112.71,142.21,20.2,22.9,18.2,4.0,0.1,0.879,67.7,20.2,44112,60.38,-9.242131497904522,-0.03697864892068444,summer,105.18599999999999,663842.0
130,2018-06-11,189.93,130.94,144.93,19.2,21.6,17.4,2.4,0.8,0.9329999999999999,66.1,19.2,41626,63.24,-7.1094574772091566,-0.13734945882748692,summer,105.17666666666666,663877.0
131,2018-06-12,148.51,133.21,142.29,20.8,25.3,17.2,2.4,0.1,0.851,68.3,20.8,40707,63.02,-10.260842357266913,-0.20805223888187271,summer,105.16733333333333,663912.0
132,2018-06-13,151.1,133.15,140.6,21.1,28.2,16.8,3.0,0.0,0.8029999999999999,68.5,21.1,44441,62.43,-10.697727355543998,-0.3578379438361442,summer,105.158,663947.0
133,2018-06-14,166.13,130.71,144.33,21.6,25.9,17.0,3.8,0.0,0.8190000000000001,69.6,21.6,41141,64.73,-11.981475660104028,-0.11490580896170018,summer,105.14866666666666,663982.0
134,2018-06-15,158.7,127.22,135.96,21.1,25.4,18.6,4.1,0.0,0.802,68.5,21.0,41543,63.37,-10.646524414875598,-0.2834416484679893,summer,105.13933333333333,664017.0
135,2018-06-16,163.96,127.74,135.25,20.1,24.3,16.2,4.3,0.0,0.753,66.7,20.1,43319,61.36,-8.420112472040403,-0.5867065736903084,summer,105.13,664052.0
136,2018-06-17,164.8,127.43,139.19,20.5,24.4,17.6,2.7,0.0,0.86,68.1,20.5,43208,61.55,-9.823957358989833,-0.0582665339275976,summer,105.12066666666666,664088.0
137,2018-06-18,162.71,126.58,140.62,21.3,23.9,17.8,1.5,0.0,0.8740000000000001,69.4,21.3,43444,65.28,-11.544590661826954,0.03487989599258213,summer,105.11133333333333,664123.0
138,2018-06-19,154.82,110.71,141.52,21.2,23.4,18.8,2.0,1.7,0.927,69.7,21.2,41555,66.21,-11.664687244216355,0.32038780088084673,summer,105.10199999999999,664158.0
139,2018-06-20,160.69,85.85,140.43,21.6,25.9,19.1,2.7,0.1,0.898,70.1,21.6,44490,66.29,-12.343827817124614,0.20633874090671678,summer,105.09266666666666,664193.0
140,2018-06-21,159.66,126.09,146.03,22.5,27.8,18.4,2.6,0.0,0.818,70.8,22.5,44349,67.61,-13.72695324335997,-0.17876946398241952,summer,105.08333333333333,664228.0
141,2018-06-22,163.85,130.62,144.27,22.2,25.2,17.3,2.0,0.0,0.754,69.9,22.2,44935,67.33,-12.782775225254074,-0.4787261288439262,summer,105.074,664263.0
142,2018-06-23,162.2,125.93,136.96,21.4,25.2,17.0,2.6,0.0,0.823,69.2,21.4,45406,63.98,-11.496964510841666,-0.18637909892199758,summer,105.06466666666667,664298.0
143,2018-06-24,163.81,126.45,137.05,23.2,29.0,16.5,2.6,0.0,0.7390000000000001,71.3,23.2,43043,64.67,-14.770508383141193,-0.506853138884499,summer,105.05533333333332,664333.0
144,2018-06-25,158.12,126.14,143.37,23.3,26.6,17.1,2.6,0.0,0.835,72.4,23.3,43681,69.63,-15.66499784040944,0.10712369585880861,summer,105.04599999999999,664368.0
